stac_id,super_classe,confianca,center_lat,center_lon,stac_browser_link
CAPELLA_C13_SP_SLC_HH_20251108032444_20251108032453,nao_urbano,0.8003,34.833172705,-118.072881525,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-08/CAPELLA_C13_SP_SLC_HH_20251108032444_20251108032453/CAPELLA_C13_SP_SLC_HH_20251108032444_20251108032453.json
CAPELLA_C13_SP_GEO_HH_20251108101220_20251108101230,urbano,0.6064,37.318553855000005,-121.870859295,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-08/CAPELLA_C13_SP_GEO_HH_20251108101220_20251108101230/CAPELLA_C13_SP_GEO_HH_20251108101220_20251108101230.json
CAPELLA_C13_SP_SLC_HH_20251112022441_20251112022453,nao_urbano,1.0,19.420575615,-155.28616874,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-12/CAPELLA_C13_SP_SLC_HH_20251112022441_20251112022453/CAPELLA_C13_SP_SLC_HH_20251112022441_20251112022453.json
CAPELLA_C13_SP_GEO_HH_20251108133205_20251108133218,nao_urbano,1.0,19.42142352,-155.2862568,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-08/CAPELLA_C13_SP_GEO_HH_20251108133205_20251108133218/CAPELLA_C13_SP_GEO_HH_20251108133205_20251108133218.json
CAPELLA_C13_SP_SLC_HH_20251105143522_20251105143535,nao_urbano,1.0,19.4214658,-155.286305125,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-05/CAPELLA_C13_SP_SLC_HH_20251105143522_20251105143535/CAPELLA_C13_SP_SLC_HH_20251105143522_20251105143535.json
CAPELLA_C13_SP_SLC_HH_20251111090905_20251111090914,urbano,0.6094,37.318882325,-121.870481215,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-11/CAPELLA_C13_SP_SLC_HH_20251111090905_20251111090914/CAPELLA_C13_SP_SLC_HH_20251111090905_20251111090914.json
CAPELLA_C13_SP_SLC_HH_20251108133205_20251108133218,nao_urbano,1.0,19.421465525,-155.28630508999998,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-08/CAPELLA_C13_SP_SLC_HH_20251108133205_20251108133218/CAPELLA_C13_SP_SLC_HH_20251108133205_20251108133218.json
CAPELLA_C13_SP_GEO_HH_20251111090905_20251111090914,urbano,0.6094,37.318961805,-121.870453405,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-11/CAPELLA_C13_SP_GEO_HH_20251111090905_20251111090914/CAPELLA_C13_SP_GEO_HH_20251111090905_20251111090914.json
CAPELLA_C13_SP_GEO_HH_20251106043113_20251106043125,nao_urbano,1.0,19.421074025000003,-155.28695222,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-06/CAPELLA_C13_SP_GEO_HH_20251106043113_20251106043125/CAPELLA_C13_SP_GEO_HH_20251106043113_20251106043125.json
CAPELLA_C13_SP_SLC_HH_20251108101220_20251108101230,urbano,0.6064,37.318472525,-121.870883735,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-08/CAPELLA_C13_SP_SLC_HH_20251108101220_20251108101230/CAPELLA_C13_SP_SLC_HH_20251108101220_20251108101230.json
CAPELLA_C13_SP_SLC_HH_20251111122850_20251111122903,nao_urbano,1.0,19.42148228,-155.286284835,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-11/CAPELLA_C13_SP_SLC_HH_20251111122850_20251111122903/CAPELLA_C13_SP_SLC_HH_20251111122850_20251111122903.json
CAPELLA_C13_SP_SLC_HH_20251109032756_20251109032808,nao_urbano,1.0,19.420568340000003,-155.28615777,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-09/CAPELLA_C13_SP_SLC_HH_20251109032756_20251109032808/CAPELLA_C13_SP_SLC_HH_20251109032756_20251109032808.json
CAPELLA_C13_SP_GEO_HH_20251112022441_20251112022453,nao_urbano,1.0,19.42103785,-155.286900345,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-11/capella-open-data-2025-11-12/CAPELLA_C13_SP_GEO_HH_20251112022441_20251112022453/CAPELLA_C13_SP_GEO_HH_20251112022441_20251112022453.json
