stac_id,collect_id,datetime,start_datetime,end_datetime,center_lon,center_lat,platform,constellation,instrument_mode,frequency_band,center_frequency,polarizations,orbit_state,product_type,observation_direction,incidence_angle,azimuth,squint_angle,layover_angle,look_angle,resolution_range,resolution_azimuth,resolution_ground_range,pixel_spacing_range,pixel_spacing_azimuth,image_length,image_width,looks_range,looks_azimuth,orbital_plane,collection_type
CAPELLA_C13_SP_SLC_HH_20251108032444_20251108032453,b2418b56-3b08-4021-be5f-f23cb8701c09,2025-11-08T03:24:49.064416Z,2025-11-08T03:24:47.463350Z,2025-11-08T03:24:50.665482Z,-118.072881525,34.833172705,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,right,37.3,318.9,0,0.1,33.6,0.22,0.44,0.37,0.34,0.41,5011.386352752719,10061.309409113162,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251108101220_20251108101230,c2b1fe00-881f-43c9-99ed-7bad19ee492f,2025-11-08T10:12:25.262546Z,2025-11-08T10:12:20.486453Z,2025-11-08T10:12:30.038640Z,-121.870859295,37.318553855000005,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,36.6,38.4,0,-0.1,33,0.32,0.56,0.53,0.34,0.34,5010.812472178657,8188.996124175852,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251112022441_20251112022453,f1e3c4b6-a64f-466a-900b-cec64250a0eb,2025-11-12T02:24:47.676882Z,2025-11-12T02:24:45.695697Z,2025-11-12T02:24:49.658068Z,-155.28616874,19.420575614999997,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,52.1,124.2,0,0,46.1,0.22,0.44,0.28,0.26,0.41,5042.676290309952,10049.452929068593,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251108133205_20251108133218,37da736d-42fe-4387-af36-cc2adc38888c,2025-11-08T13:32:12.226841Z,2025-11-08T13:32:05.844890Z,2025-11-08T13:32:18.608793Z,-155.2862568,19.42142352,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.9,49.7,0,0,49.1,0.32,0.56,0.38,0.25,0.25,4981.6593602037365,10087.40212402021,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251105143522_20251105143535,7a6bebc3-d4d6-43fb-b8b8-b2ff5f752f9f,2025-11-05T14:35:28.814850Z,2025-11-05T14:35:26.685365Z,2025-11-05T14:35:30.944336Z,-155.286305125,19.4214658,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.8,49.7,0,0,49.1,0.22,0.44,0.27,0.25,0.41,4981.3968490258185,10197.199778921251,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251111090905_20251111090914,4466696b-5388-41e1-a599-d64af2e9dc97,2025-11-11T09:09:09.486399Z,2025-11-11T09:09:07.895308Z,2025-11-11T09:09:11.077490Z,-121.870481215,37.318882325000004,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0,-0.1,33,0.22,0.44,0.37,0.34,0.41,5010.433254778545,8170.0540429505145,1,1,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251108133205_20251108133218,37da736d-42fe-4387-af36-cc2adc38888c,2025-11-08T13:32:12.215955Z,2025-11-08T13:32:10.086267Z,2025-11-08T13:32:14.345644Z,-155.28630508999998,19.421465525,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.9,49.7,0,0,49.1,0.22,0.44,0.27,0.25,0.41,4981.401318932759,10196.352634223977,1,1,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251111090905_20251111090914,4466696b-5388-41e1-a599-d64af2e9dc97,2025-11-11T09:09:09.486448Z,2025-11-11T09:09:04.710524Z,2025-11-11T09:09:14.262372Z,-121.870453405,37.318961805,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,36.6,38.4,0,-0.1,33,0.32,0.56,0.53,0.34,0.34,5010.45836066923,8189.462760718867,1,3,53,spotlight
CAPELLA_C13_SP_GEO_HH_20251106043113_20251106043125,a91d1d6c-7d28-4393-a047-39c83dd943ea,2025-11-06T04:31:19.292211Z,2025-11-06T04:31:13.345070Z,2025-11-06T04:31:25.239352Z,-155.28695222,19.421074025000003,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0,0.1,46.1,0.32,0.56,0.4,0.26,0.26,5043.278095566007,10536.83597798989,1,3,53,spotlight
CAPELLA_C13_SP_SLC_HH_20251108101220_20251108101230,c2b1fe00-881f-43c9-99ed-7bad19ee492f,2025-11-08T10:12:25.262548Z,2025-11-08T10:12:23.671454Z,2025-11-08T10:12:26.853642Z,-121.870883735,37.318472525,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0,-0.1,33,0.22,0.44,0.37,0.34,0.41,5010.784270047235,8168.277075079285,1,1,53,spotlight
