arquivo,classe,score,roi,eh_alvo
CAPELLA_C13_SP_GEO_HH_20250306144636_20250306144707.png,urbano,0.1744,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",False
CAPELLA_C13_SP_GEO_HH_20250508193043_20250508193052.png,urbano,0.5607,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",True
CAPELLA_C06_SP_GEO_VV_20220324132714_20220324132738.png,urbano,0.6322,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",True
CAPELLA_C13_SP_GEO_HH_20241113132634_20241113132642.png,urbano,0.3335,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",True
CAPELLA_C13_SP_GEO_HH_20250730075534_20250730075603.png,urbano,0.4732,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",True
CAPELLA_C13_SP_GEO_HH_20250110214529_20250110214532.png,militar,0.76,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",True
CAPELLA_C10_SP_GEO_HH_20230507162051_20230507162119.png,militar,0.2682,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",False
CAPELLA_C03_SP_GEO_VV_20221011145414_20221011145436.png,militar,0.6926,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",True
CAPELLA_C13_SP_GEO_HH_20241211094727_20241211094738.png,militar,0.7337,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",True
CAPELLA_C13_SP_GEO_HH_20250830031430_20250830031509.png,militar,0.7394,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",True
CAPELLA_C02_SP_GEO_HH_20210904014246_20210904014312.png,militar,0.1712,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",False
CAPELLA_C09_SP_GEO_HH_20240319095913_20240319095945.png,militar,0.6057,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",True
CAPELLA_C08_SP_GEO_HH_20230215231844_20230215231908.png,militar,0.6923,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",True
CAPELLA_C13_SP_GEO_HH_20250923192508_20250923192516.png,militar,0.2981,"{""x_min"": 0, ""y_min"": 0, ""x_max"": 99, ""y_max"": 99}",False
CAPELLA_C13_SP_GEO_HH_20241106140935_20241106140944.png,mineracao,0.0586,"{""x_min"": 99, ""y_min"": 0, ""x_max"": 99, ""y_max"": 1}",False
