stac_id,collect_id,datetime,start_datetime,end_datetime,center_lon,center_lat,platform,constellation,instrument_mode,frequency_band,center_frequency,polarizations,orbit_state,product_type,observation_direction,incidence_angle,azimuth,squint_angle,layover_angle,look_angle,resolution_range,resolution_azimuth,resolution_ground_range,pixel_spacing_range,pixel_spacing_azimuth,image_length,image_width,looks_range,looks_azimuth,orbital_plane,collection_type,super_classe,stac_browser_link
CAPELLA_C09_SP_SLC_HH_20240527001929_20240527001955,fb208fb9-16c0-4a82-b1f2-72303eb575dc,2024-05-27T00:19:42.311491Z,2024-05-27T00:19:28.988569Z,2024-05-27T00:19:55.634413Z,118.770992075,-23.1838779,capella-9,capella,spotlight,X,9.65,HH,descending,SLC,left,36.9,217.9,0.0,,33.5,0.32,0.05,0.53,0.5,0.05,5011.047785893048,5000.089673430697,1,1,45,spotlight_legacy,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-05/capella-open-data-2024-05-27/CAPELLA_C09_SP_SLC_HH_20240527001929_20240527001955/CAPELLA_C09_SP_SLC_HH_20240527001929_20240527001955.json
CAPELLA_C13_SP_GEO_HH_20250427110739_20250427110752,3caff47b-bd82-4a2a-91a0-7757f87a7e55,2025-04-27T11:07:45.761365Z,2025-04-27T11:07:39.369689Z,2025-04-27T11:07:52.153042Z,-155.286256635,19.421423965,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,55.8,50.0,0.0,0.0,49.1,0.32,0.56,0.38,0.25,0.25,4981.6197791699615,10089.222304440718,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-04/capella-open-data-2025-04-27/CAPELLA_C13_SP_GEO_HH_20250427110739_20250427110752/CAPELLA_C13_SP_GEO_HH_20250427110739_20250427110752.json
CAPELLA_C13_SP_SLC_HH_20250506075751_20250506075804,eeaa0476-0673-4bed-ba2a-a05853609a7c,2025-05-06T07:57:58.244439Z,2025-05-06T07:57:56.115081Z,2025-05-06T07:58:00.373798Z,-155.28630496,19.421465695,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,55.8,49.8,0.0,-0.1,49.1,0.22,0.44,0.27,0.25,0.41,4981.415497658374,10197.569004504414,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-05/capella-open-data-2025-05-06/CAPELLA_C13_SP_SLC_HH_20250506075751_20250506075804/CAPELLA_C13_SP_SLC_HH_20250506075751_20250506075804.json
CAPELLA_C13_SP_GEO_HH_20250209042511_20250209042521,112abd7d-e1a3-48c4-a8b8-31deaa35a280,2025-02-09T04:25:16.644863Z,2025-02-09T04:25:11.838016Z,2025-02-09T04:25:21.451711Z,-118.072904915,34.833003085,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,right,37.3,319.4,0.1,,33.6,0.32,0.56,0.52,0.34,0.34,5011.276555235423,10007.988361018211,1,3,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-02/capella-open-data-2025-02-09/CAPELLA_C13_SP_GEO_HH_20250209042511_20250209042521/CAPELLA_C13_SP_GEO_HH_20250209042511_20250209042521.json
CAPELLA_C13_SP_SLC_HH_20250805054859_20250805054928,e9af71f4-1fb5-47b7-89e2-cac8cc43d21a,2025-08-05T05:49:13.736289Z,2025-08-05T05:49:12.154725Z,2025-08-05T05:49:15.317853Z,153.017847465,-27.4771083,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,35.2,52.1,0.0,0.2,31.7,0.22,0.44,0.38,0.35,0.41,5058.255294660556,10072.690903888688,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-08/capella-open-data-2025-08-05/CAPELLA_C13_SP_SLC_HH_20250805054859_20250805054928/CAPELLA_C13_SP_SLC_HH_20250805054859_20250805054928.json
CAPELLA_C13_SP_SLC_HH_20250113135439_20250113135442,6f067bdf-106f-4379-a7a5-4d5e5deb9e82,2025-01-13T13:54:40.772695Z,2025-01-13T13:54:39.170772Z,2025-01-13T13:54:42.374619Z,-118.07251629,34.83274851,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,right,37.3,318.9,0.1,,33.6,0.22,0.46,0.37,0.34,0.43,5019.988405951955,9999.6654500985,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-01/capella-open-data-2025-01-13/CAPELLA_C13_SP_SLC_HH_20250113135439_20250113135442/CAPELLA_C13_SP_SLC_HH_20250113135439_20250113135442.json
CAPELLA_C13_SP_GEO_HH_20250730075534_20250730075603,33b00060-a8bc-4c8c-8a09-b74ac445198d,2025-07-30T07:55:48.396136Z,2025-07-30T07:55:34.091001Z,2025-07-30T07:56:02.701272Z,153.01778858,-27.476713205000003,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,35.1,51.1,0.5,0.8,31.7,0.32,0.56,0.55,0.35,0.35,5060.026046704334,10162.173925059316,1,9,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-07/capella-open-data-2025-07-30/CAPELLA_C13_SP_GEO_HH_20250730075534_20250730075603/CAPELLA_C13_SP_GEO_HH_20250730075534_20250730075603.json
CAPELLA_C10_SP_GEO_HH_20230523113346_20230523113417,0744f9e2-6630-4b27-a960-17997ca297ae,2023-05-23T11:34:01.734817Z,2023-05-23T11:33:46.317006Z,2023-05-23T11:34:17.152628Z,118.77076163,-23.18395749,capella-10,capella,spotlight,X,9.65,HH,descending,GEO,left,44.4,216.8,0.0,,39.8,0.38,0.56,0.54,0.35,0.35,5008.822065573854,5041.624976934931,1,9,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2023/capella-open-data-2023-05/capella-open-data-2023-05-23/CAPELLA_C10_SP_GEO_HH_20230523113346_20230523113417/CAPELLA_C10_SP_GEO_HH_20230523113346_20230523113417.json
CAPELLA_C13_SP_SLC_HH_20250731094442_20250731094516,98be813f-3ce1-4fbc-afe7-f5c64d0ef5f9,2025-07-31T09:44:59.347931Z,2025-07-31T09:44:57.480739Z,2025-07-31T09:45:01.215124Z,131.03482994,-25.346134755,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,left,47.7,227.4,0.0,0.2,42.4,0.22,0.44,0.3,0.28,0.41,4996.503819621095,10114.255202106371,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-07/capella-open-data-2025-07-31/CAPELLA_C13_SP_SLC_HH_20250731094442_20250731094516/CAPELLA_C13_SP_SLC_HH_20250731094442_20250731094516.json
CAPELLA_C13_SP_GEO_HH_20250311175531_20250311175607,ff61ca28-3a01-4f76-a4e3-433e06d60227,2025-03-11T17:55:49.881349Z,2025-03-11T17:55:31.938103Z,2025-03-11T17:56:07.824595Z,-155.286951415,19.421074355,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,124.2,0.0,,46.1,0.32,0.56,0.4,0.26,0.26,5043.297134123672,10533.018230654585,1,9,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-03/capella-open-data-2025-03-11/CAPELLA_C13_SP_GEO_HH_20250311175531_20250311175607/CAPELLA_C13_SP_GEO_HH_20250311175531_20250311175607.json
