stac_id,collect_id,datetime,start_datetime,end_datetime,center_lon,center_lat,platform,constellation,instrument_mode,frequency_band,center_frequency,polarizations,orbit_state,product_type,observation_direction,incidence_angle,azimuth,squint_angle,layover_angle,look_angle,resolution_range,resolution_azimuth,resolution_ground_range,pixel_spacing_range,pixel_spacing_azimuth,image_length,image_width,looks_range,looks_azimuth,orbital_plane,collection_type,super_classe,stac_browser_link
CAPELLA_C14_SP_GEO_HH_20240805212327_20240805212358,709b9340-8f3f-4161-9dc0-bb884358d6f2,2024-08-05T21:23:42.814474Z,2024-08-05T21:23:27.725191Z,2024-08-05T21:23:57.903757Z,118.770790975,-23.184003495,capella-14,capella,spotlight,X,9.65,HH,descending,GEO,left,41.4,219.5,0.0,,37.2,0.38,0.56,0.57,0.35,0.35,5013.076612771778,5121.094152261241,1,9,45,spotlight_legacy,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-08/capella-open-data-2024-08-05/CAPELLA_C14_SP_GEO_HH_20240805212327_20240805212358/CAPELLA_C14_SP_GEO_HH_20240805212327_20240805212358.json
CAPELLA_C08_SP_SLC_HH_20221123102503_20221123102529,544f758f-026f-467e-88c6-f95ad9c9893f,2022-11-23T10:25:16.528335Z,2022-11-23T10:25:15.134607Z,2022-11-23T10:25:17.922064Z,-6.09364962,36.994050315,capella-8,capella,spotlight,X,9.65,HH,descending,SLC,right,42.9,100.0,0.0,,38.9,0.38,0.5,0.56,0.37,0.41,5011.113143120617,5002.013695577703,1,1,97,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2022/capella-open-data-2022-11/capella-open-data-2022-11-23/CAPELLA_C08_SP_SLC_HH_20221123102503_20221123102529/CAPELLA_C08_SP_SLC_HH_20221123102503_20221123102529.json
CAPELLA_C13_SP_SLC_HH_20241211054815_20241211054824,780493dc-ba1a-4e09-a5e3-f0a5d7cf9e2b,2024-12-11T05:48:19.354425Z,2024-12-11T05:48:14.875585Z,2024-12-11T05:48:23.833265Z,122.2359419,-21.754452005,capella-13,capella,spotlight,X,9.6,HH,ascending,SLC,left,29.3,128.5,-0.2,,26.5,0.22,0.15,0.46,0.43,0.14,5022.034463483877,4999.525053654783,1,1,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-12/capella-open-data-2024-12-11/CAPELLA_C13_SP_SLC_HH_20241211054815_20241211054824/CAPELLA_C13_SP_SLC_HH_20241211054815_20241211054824.json
CAPELLA_C14_SP_SLC_HH_20240811035911_20240811035945,d9d453be-c1fb-44bd-ba46-d90232f33fce,2024-08-11T03:59:30.123135Z,2024-08-11T03:59:13.017528Z,2024-08-11T03:59:47.228743Z,-121.51578078,39.534401935,capella-14,capella,spotlight,X,9.65,HH,descending,SLC,right,49.2,9.0,0.0,,43.8,0.32,0.05,0.42,0.39,0.05,5010.785441980838,4999.281196455535,1,1,45,spotlight_legacy,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-08/capella-open-data-2024-08-11/CAPELLA_C14_SP_SLC_HH_20240811035911_20240811035945/CAPELLA_C14_SP_SLC_HH_20240811035911_20240811035945.json
CAPELLA_C14_SP_SLC_HH_20240716054548_20240716054618,e750bfaa-32da-45e4-934b-0f06b5613ebf,2024-07-16T05:46:04.482532Z,2024-07-16T05:45:49.188234Z,2024-07-16T05:46:19.776830Z,118.77107026,-23.18393682,capella-14,capella,spotlight,X,9.65,HH,descending,SLC,left,41.4,219.6,0.0,,37.2,0.32,0.05,0.48,0.45,0.05,5047.217888884903,4999.98298864098,1,1,45,spotlight_legacy,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-07/capella-open-data-2024-07-16/CAPELLA_C14_SP_SLC_HH_20240716054548_20240716054618/CAPELLA_C14_SP_SLC_HH_20240716054548_20240716054618.json
CAPELLA_C13_SP_GEO_HH_20250802210004_20250802210014,149a2ff4-e491-4d39-97a5-ae6da43a2c3a,2025-08-02T21:00:09.504498Z,2025-08-02T21:00:04.725254Z,2025-08-02T21:00:14.283743Z,-121.870452905,37.318960135,capella-13,capella,spotlight,X,9.6,HH,descending,GEO,right,36.6,38.4,0.0,-0.1,33.0,0.32,0.56,0.53,0.34,0.34,5010.672633726526,8179.27611154103,1,3,53,spotlight,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-08/capella-open-data-2025-08-02/CAPELLA_C13_SP_GEO_HH_20250802210004_20250802210014/CAPELLA_C13_SP_GEO_HH_20250802210004_20250802210014.json
CAPELLA_C13_SP_SLC_HH_20250601190844_20250601190853,bfaf2321-a871-4fd0-9172-f9d76b1fb3c3,2025-06-01T19:08:47.846450Z,2025-06-01T19:08:46.255324Z,2025-06-01T19:08:49.437577Z,-121.87088346,37.318472835,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,36.6,38.4,0.0,-0.1,33.0,0.22,0.44,0.37,0.34,0.41,5010.802700733581,8170.311424541946,1,1,53,spotlight,urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-06/capella-open-data-2025-06-01/CAPELLA_C13_SP_SLC_HH_20250601190844_20250601190853/CAPELLA_C13_SP_SLC_HH_20250601190844_20250601190853.json
CAPELLA_C13_SP_GEO_HH_20250216022140_20250216022216,6b5d1ebb-d117-4eeb-a008-96ca704ea9a4,2025-02-16T02:21:58.676847Z,2025-02-16T02:21:40.747267Z,2025-02-16T02:22:16.606428Z,-155.28690011999998,19.42103828,capella-13,capella,spotlight,X,9.6,HH,ascending,GEO,left,52.1,123.9,0.0,,46.1,0.32,0.56,0.4,0.26,0.26,5043.407905836286,10213.119824366717,1,9,53,spotlight,nao_urbano,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2025/capella-open-data-2025-02/capella-open-data-2025-02-16/CAPELLA_C13_SP_GEO_HH_20250216022140_20250216022216/CAPELLA_C13_SP_GEO_HH_20250216022140_20250216022216.json
CAPELLA_C02_SP_GEO_HH_20210629043240_20210629043306,619a57c7-bbf6-4993-a0f1-2e3f2bab4329,2021-06-29T04:32:53.554465Z,2021-06-29T04:32:40.330816Z,2021-06-29T04:33:06.778115Z,-74.03754133999999,40.659394065,capella-2,capella,spotlight,X,9.65,HH,descending,GEO,right,41.1,10.5,0.0,,37.3,0.48,0.64,0.73,0.35,0.35,22456.0,22187.0,1,9,45,spotlight_legacy,costa,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2021/capella-open-data-2021-06/capella-open-data-2021-06-29/CAPELLA_C02_SP_GEO_HH_20210629043240_20210629043306/CAPELLA_C02_SP_GEO_HH_20210629043240_20210629043306.json
CAPELLA_C13_SP_SLC_HH_20241124143728_20241124143738,bed41a10-78f2-4077-9751-9e643f8baded,2024-11-24T14:37:33.300797Z,2024-11-24T14:37:28.556946Z,2024-11-24T14:37:38.044648Z,-122.478871875,37.81874482,capella-13,capella,spotlight,X,9.6,HH,descending,SLC,right,35.8,37.8,0.1,,32.3,0.22,0.15,0.38,0.36,0.14,5009.809322641188,4999.876517692853,1,1,53,spotlight,costa,https://radiantearth.github.io/stac-browser/#/external/capella-open-data.s3.amazonaws.com/stac/capella-open-data-by-datetime/capella-open-data-2024/capella-open-data-2024-11/capella-open-data-2024-11-24/CAPELLA_C13_SP_SLC_HH_20241124143728_20241124143738/CAPELLA_C13_SP_SLC_HH_20241124143728_20241124143738.json
